siteid,description,state,latitude,longitude,elevation,timezone,install,horizontal_datum,vertical_datum,vertical_accuracy,elevation_method,tz_offset,active_flag,type,responsibility,agency_region,huc12
anti,"Henrys Fork at St. Anthony, ID",ID,43.96683517,-111.6726182,4951,US/Mountain,00:00.0,13050500,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.70E+11
anto,Antelope Creek and Diversion at Dam,OR,42.41111111,-122.7433333,1530,US/Pacific,59:49.0,14348080,ft,0,,,,hydromet,owrd,PN,1.71E+11
anvn,"DRI - Antelope Valley, Nevada Weather Station",NV,40.093889,-117.168889,1484.6808,US/Pacific,6/11/2011,,m,0,agrimet_map,,,agrimet,dri,PN,1.60E+11
app,APPLEGATE RESERVOIR,OR,42.08333333,-123.1333333,0,US/Pacific,22:36.8,14361900,ft,0,,,,hydromet,Corps,PN,1.71E+11
appo,APPLEGATE RIVER NEAR COPPER,OR,42.063736,-123.111436,0,US/Pacific,00:00.0,14362000,ft,0,,,,hydromet,usgs,PN,1.71E+11
apro,APPLEGATE RIVER NEAR APPLEGATE,OR,42.241511,-123.140048,0,US/Pacific,00:00.0,14366000,ft,0,,,,hydromet,usgs,PN,1.71E+11
apsw,ALPINE MEADOWS,WA,47.76666667,-121.6833333,179.3333333,0,.......................,908,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
arao,"Aurora, Oregon AgriMet Weather Station",OR,45.28194,-122.75027,42.67,US/Pacific,10/22/1998,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
arbo,ARBUCKLE MTN,OR,45.18333333,-119.25,215.1666667,0,.......................,304,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
arci,BIG LOST RIVER NEAR ARCO,ID,43.582222,-113.270556,0,US/Mountain,00:00.0,13132500,ft,0,,,,hydromet,usgs,PN,1.70E+11
ardb,ARROW LAKES,BC,49.33333333,-117.7666667,0,US/Mountain,00:00.0,0,ft,0,,,,hydromet,,PN,1.70E+11
ark,Arrowrock Dam and Reservoir,ID,43.59550122,-115.9226344,3216,US/Mountain,00:00.0,,ft,0,cma_google,,,hydromet,pnro,PN,1.71E+11
arki,Middle Fork Boise River at Arrowrock Dam,ID,43.59444444,-115.9219444,0,US/Mountain,00:00.0,0,ft,0,,,,hydromet,,PN,1.71E+11
arne,"Lake Alice Reservoir Elevation, Nebraska",NE,41.98667,-103.63222,4190,MST,,,,,,,,,,GP,
arno,Arnold Canal,OR,43.99444444,-121.3777778,3810,US/Pacific,27:58.1,14065500,ft,0,,,,hydromet,owrd,PN,1.71E+11
asci,Aberdeen-Springfield Canal,ID,43.28055556,-112.2569444,4537,US/Mountain,00:00.0,13061610,ft,0,,,,hydromet,IDWR,PN,1.70E+11
aslo,"Ashland Lateral near Ashland, OR",OR,42.12361111,-122.5486111,0,US/Pacific,44:16.9,0,ft,0,,,,hydromet,BFO (T)/OWRD,PN,1.71E+11
asnw,"ASOTIN CREEK AT ASOTIN, WA (USGS)",WA,46.34072,-117.05599,742.57,US/Pacific,.......................,13335050,ft,0,,,,hydromet,,PN,1.71E+11
atai,ATLANTA SUMMIT,ID,43.75,-115.2333333,241.3333333,0,.......................,306,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
atli,Atlanta 3 Weather Station,ID,43.804338,-115.126912,5400,US/Mountain,00:00.0,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.71E+11
auci,St. Anthony Union Canal,ID,43.975,-111.65,4995,US/Mountain,00:00.0,13049725,ft,0,,,,hydromet,IDWR,PN,1.70E+11
audl,"Audubon Lake, North Dakota",ND,47.61139,-101.26556,1862,MST,,,,,,,,,,GP,
augw,Ahtanum Creek at Union Gap,WA,46.53527778,-120.4716667,0,US/Pacific,.......................,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
auso,"Austin 3S, OR (monthly)",OR,0,0,0,US/Pacific,.......................,0,ft,0,,,,hydromet,,PN,
badm,BADGER PASS,MT,48.11666667,-113.0166667,228,0,.......................,307,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
balo,"Baltzor Ranch near Sheaville, Oregon",OR,43.107007,-117.060355,4620,US/Mountain,00:00.0,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.71E+11
banm,BANFIELD MOUNTAIN,MT,48.56666667,-115.4333333,208.3333333,0,.......................,311,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
bano,"Bandon, Oregon AgriMet Weather Station",OR,43.09111,-124.41722,24.38,US/Pacific,5/15/1985,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
bari,"Blackfoot River abv Reservoir nr Henry, ID",ID,42.815278,-111.506667,6260,US/Mountain,.......................,13063000,ft,0,,,,hydromet,USGS,PN,1.70E+11
basi,BANNER SUMMIT,ID,44.3,-115.2333333,232.3333333,0,.......................,312,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
baso,"Bear Creek below Ashland Cr. at Ashland, OR",OR,42.215964,-122.722255,1675,US/Pacific,36:10.1,14354200,ft,0,,,,hydromet,usgs,PN,1.71E+11
bato,"Beatty, Oregon AgriMet Weather Station",OR,42.47805,-121.27388,1316.74,US/Pacific,10/19/2004,,m,0,agrimet_map,,,agrimet,pnro,PN,1.80E+11
bbbo,"Big Butte Ck below Butte Falls,OR",OR,42.55964714,-122.5788361,0,US/Mountain,,14337000,,0,,,,hydromet,BFO,PN,1.71E+11
bbne,"Box Butte Dam, Nebraska",NE,42.45833,-103.06667,4007,MST,,,,,,,,,,GP,
bbr,"Buffalo Bill Reservoir On Shoshone River, Wyoming",WY,44.50139,-109.18333,5360,MST,,,,,,,,,,GP,
bbrsfd,"Buffalo Bill Reservoir - South Fork Dike, Wyoming",WY,44.4425,-109.2125,5401,MST,,,,,,,,,,GP,
bbsy,BLIND BULL SUM,WY,42.95,-110.6,254.1666667,0,.......................,353,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.40E+11
bbyi,"BLACKFOOT RIV BYPASS NR BLACKFOOT, ID",ID,43.17111111,-112.3869444,4469,US/Mountain,00:00.0,13068495,ft,0,,,,hydromet,usgs,PN,1.70E+11
bcao,"Bear Creek above Ashland, OR",OR,42.195,-122.6686111,1820,US/Pacific,48:15.3,14352001,ft,0,,,,hydromet,OWRD,PN,1.71E+11
bcco,"Bear Creek Canal at Medford, OR",OR,42.33194444,-122.8708333,1350,US/Pacific,49:12.4,14358000,ft,0,,,,hydromet,OWRD,PN,1.71E+11
bcdo,BILLIE CREEK DIVIDE,OR,42.4,-122.25,210,0,.......................,344,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.80E+11
bcgo,Little Butte Ck Grinding Mill Race,OR,42.476931,-122.793052,0,US/Pacific,,14347898,,0,,,,hydromet,BFO/OWRD,PN,1.71E+11
bcmo,"Bear Creek at Mouth below Central Point, OR",OR,42.42638889,-122.9569444,1070,US/Pacific,52:19.8,14358800,ft,0,,,,hydromet,owrd,PN,1.71E+11
bcp,"Billy Clapp Lake, WA",WA,47.44805556,-119.2544444,1344,US/Pacific,00:00.0,0,ft,0,,,,hydromet,,PN,1.70E+11
bcso,Beaver Creek and Beaver Siphon at Howard Prairie Canal,OR,42.15055556,-122.3958333,0,US/Pacific,03:08.7,0,ft,0,,,,hydromet,BFO,PN,1.80E+11
bcto,Bear Creek below Phoenix Diversion near Talent,OR,42.25361111,-122.7888889,1544,US/Pacific,54:49.5,14357000,ft,0,,,,hydromet,owrd,PN,1.71E+11
bddi,Boise River below Diversion Dam near Boise,ID,43.537637,-116.093827,2800,US/Mountain,00:00.0,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.71E+11
beam,BEAGLE SPRINGS,MT,44.46666667,-112.9666667,259.5,0,.......................,318,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.00E+11
beci,BEAR CANYON,ID,43.73333333,-113.9333333,244.6666667,0,.......................,320,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
bedo,IRISH TAYLOR,OR,43.8,-121.9333333,213.3333333,0,.......................,545,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
beno,"Deschutes River at Benham Falls, OR",OR,43.930117,-121.411975,4142,US/Pacific,50:02.5,14064500,ft,0,,,,hydromet,owrd,PN,1.71E+11
bern,BEAR CREEK,NV,41.83333333,-115.45,249,0,.......................,321,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
bero,BEAR CREEK NEAR WALLOWA,OR,45.526811,-117.552411,3250,US/Pacific,43:07.5,13330500,ft,0,,,,hydromet,owrd,PN,1.71E+11
beu,Agency Valley (Beulah) Dam and Reservoir,OR,43.91139,-118.15723,3305,US/Mountain,00:00.0,,ft,0,cma_google,,,hydromet,pnro,PN,1.71E+11
beuo,North Fork Malheur River at Beulah,OR,43.909073,-118.152321,3261,US/Mountain,00:00.0,13217500,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.71E+11
bevm,BEAVER CREEK,MT,44.93333333,-111.35,241.8333333,0,.......................,328,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.00E+11
bewo,"Bend, Oregon AgriMet Weather Station",OR,44.0475,-121.32027,1103.38,US/Pacific,5/1/2003,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
bfam,"Blackfeet-Seville Colony, MT (BFAM)",MT,48.67539978,-112.5886993,0,US/Mountain,,,,0,usbr_map.json,,,agrimet,great_plains,PN,1.00E+11
bfci,Blackfoot Canal,ID,43.32083333,-112.1719444,4574,US/Mountain,00:00.0,13061430,ft,0,,,,hydromet,IDWR,PN,1.70E+11
bfgi,Boise Fairgrounds Weather Station,ID,43.65303,-116.27417,800,US/Mountain,8/15/2013,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
bfky,"Buffalo Fork above Lava Creek near Moran, WY",WY,43.83805,-110.44111,6773,US/Mountain,00:00.0,13011900,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.70E+11
bfr,"Belle Fourche Reservoir Nr Belle Fourche, S. Dakota",SD,44.73667,-103.67417,2900,MST,,,,,,,,,,GP,
bfti,"Snake River near Blackfoot, ID",ID,43.12513846,-112.518792,4400,US/Mountain,00:00.0,13069500,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.70E+11
bftm,"Big Flat - Turner, MT (BFTM)",MT,48.83568192,-108.5636673,0,US/Mountain,,,,0,usbr_map.json,,,agrimet,great_plains,PN,1.01E+11
bgco,BIGELOW CAMP,OR,42.06666667,-123.3333333,208.5,0,.......................,343,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
bgmw,BUNCHGRASS MDW,WA,48.68333333,-117.1666667,200.3333333,0,.......................,376,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
bhr,"Bighorn Lake, Montana",MT,45.30722,-107.95694,3200,MST,,,,,,,,,,GP,
bhsx,"Bighorn River And Bia Canal Near St. Xavier, Montana",MT,45.31667,-107.91806,3100,MST,,,,,,,,,,GP,
bicw,Moxee Drain at Birchfield Road,WA,46.54611111,-120.4369444,977,US/Pacific,.......................,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
bigi,Boise River at Glenwood Bridge,ID,43.660509,-116.27916,2610,US/Mountain,00:00.0,13206000,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.71E+11
bign,BIG BEND,NV,41.75,-115.6833333,226.6666667,0,.......................,336,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
bili,Billingsley Creek near Hagerman at Hwy 30,ID,42.83527778,-114.8938889,2925,US/Mountain,19:13.7,,ft,0,,,,hydromet,idpwr,PN,1.70E+11
biro,"Birch Creek near Rieth, OR",OR,45.652631,-118.880269,530,US/Pacific,18:12.3,14025000,ft,0,,,,hydromet,owrd,PN,1.71E+11
bism,BISSON CREEK,MT,47.68333333,-113.9833333,195,0,.......................,346,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
bjbo,"Bear Creek at Jackson St. Bridge, Medford, OR",OR,42.33166667,-122.8694444,1320,US/Pacific,04:27.6,14357503,ft,0,,,,hydromet,owrd,PN,1.71E+11
bke,"BAKER FAA AIRPORT, OR (monthly)",OR,0,0,0,US/Pacific,.......................,0,ft,0,,,,hydromet,,PN,
bkpi,Boelky Pump,ID,43.86361111,-111.2544444,6105,US/Mountain,40:12.0,13054031,ft,0,,,,hydromet,IDWR,PN,1.70E+11
bksi,BIG CREEK SUMMIT,ID,44.61666667,-115.7833333,224.6666667,0,.......................,338,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
bkvo,"Baker Valley, Oregon Agrimet Weather Station",OR,44.88277,-117.96277,1042.42,US/Pacific,5/10/2001,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
blao,BLAZED ALDER,OR,45.41666667,-121.85,181.8333333,0,.......................,351,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
blbm,BLACK BEAR,MT,44.5,-111.1166667,247.1666667,0,.......................,347,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.00E+11
blbu,"Bluebell, UT AgriMet Weather Station",UT,40.372624,-110.209215,6186,US/Mountain,4/20/2016,,,0,,,,agrimet,pnro,PN,1.41E+11
blcu,"UCC - Blue Creek, Utah Weather Station",UT,41.962167,-112.491167,1575.816,US/Mountain,,,m,0,agrimet_map,,,agrimet,ucc,PN,1.60E+11
blfi,"Blackfoot River near Blackfoot, ID",ID,43.130556,-112.476667,4420,US/Mountain,36:00.7,13068500,ft,0,,,,hydromet,usgs,PN,1.70E+11
bloi,BIG LOST RIVER BELOW DIVERSION,ID,43.515833,-113.081944,0,US/Mountain,00:00.0,13132520,ft,0,,,,hydromet,usgs,PN,1.70E+11
blom,BLOODY DICK,MT,45.15,-113.5,239.6666667,0,.......................,355,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.00E+11
blou,"UCC - BearLake, Utah Weather Station",UT,41.933628,-111.420137,1979.9808,US/Mountain,,,ft,0,,,,agrimet,ucc,PN,1.60E+11
blpo,BLUE MOUNTAIN SPRING,OR,44.23333333,-118.5166667,215.8333333,0,.......................,357,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
blr,"Bull Lake Reservoir On Bull Lake Creek, Wyoming",WY,43.20972,-109.04167,5814,MST,,,,,,,,,,GP,
blui,Blue Ridge,id,0,0,0,,,,,0,,,T,,,PN,
bmci,Butte and Market Lake Canal,ID,43.74583333,-112.1027778,4775,US/Mountain,00:00.0,13057025,ft,0,,,,hydromet,IDWR,PN,1.70E+11
bmpw,BUMPING RIDGE,WA,46.81666667,-121.3333333,4600,US/Pacific,.......................,21C38S,ft,0,,,,hydromet,,PN,1.70E+11
bmso,BOWMAN SPRINGS,OR,45.35,-118.4666667,193.5,0,.......................,362,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
bndw,"Bonneville Dam AgriMet, Washington AgriMet Weather Station",WA,45.64777,-121.93111,24.38,US/Pacific,4/13/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
bnk,"Banks Lake near Grand Coulee, WA",WA,47.63333333,-119.2333333,1570,US/Pacific,00:00.0,0,ft,0,,,,hydromet,,PN,1.70E+11
bnoo,"BURNS WSO, OR (monthly)",OR,0,0,0,US/Pacific,.......................,0,ft,0,,,,hydromet,,PN,
bnwi,"Bone, ID",ID,43.39502805,-111.8258181,5950,US/Mountain,.......................,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.70E+11
bogi,Bogus Basin Snow Course,id,0,0,0,US/Mountain,,0,,0,,,,hydromet,,PN,
boii,"Boise, Idaho AgriMet Weather Station",ID,43.60027,-116.17694,829.06,US/Mountain,7/26/1995,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
boisys,and +ark +luc +low,id,0,0,0,US/Mountain,,0,,0,,,,hydromet,,PN,
boisys2,ark + luc,id,0,0,0,US/Mountain,,0,,0,,,,hydromet,,PN,
boisys3,and +ark +luc,id,0,0,0,US/Mountain,,0,,0,,,,hydromet,,PN,
bomi,"Boise River near Middleton, ID",ID,43.685,-116.5727778,2410,US/Mountain,00:00.0,,ft,0,,,,hydromet,idpwr,PN,1.71E+11
bomt,"Broken-O Ranch, MT (BOMT)",MT,47.51954651,-112.2359009,0,US/Mountain,,,,0,usbr_map.json,,,agrimet,great_plains,PN,1.00E+11
bon,COLUMBIA RIVER AT BONNEVILLE,OR,45.64166667,-121.9416667,74,US/Pacific,00:00.0,0,ft,0,,,,hydromet,Corps,PN,1.71E+11
bony,Bondurant 3NW,WY,43.21583333,-110.4236111,6504,US/Mountain,00:00.0,0,ft,0,,,,hydromet,NWS,PN,1.70E+11
booi,Rudy Canal,ID,43.65416667,-111.7775,4955,US/Mountain,00:00.0,13038085,ft,0,,,,hydromet,IDWR,PN,1.70E+11
boro,BOURNE,OR,44.81666667,-118.1833333,215.5,0,.......................,361,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
bouy,Bondurant 4NW (NWS),WY,43.19884174,-110.4027233,6550,US/Mountain,.......................,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.70E+11
boyr,"Boysen Reservoir, Thermopolis, Wyoming",WY,43.4,-108.17694,4628,MST,,,,,,,,,,GP,
bozm,"Bozeman, MT (BOZM)",MT,45.67301559,-111.1546249,0,US/Mountain,,,,0,usbr_map.json,,,agrimet,great_plains,PN,1.00E+11
bpaw,BLEWETT PASS,WA,47.35,-120.6666667,190.6666667,0,.......................,352,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
bpnw,Bumping Lake,wa,0,0,0,,,,,0,,,T,,,PN,
bppi,Bob Parkinson Pump,ID,43.91944444,-111.4594444,5560,US/Mountain,40:12.0,13054420,ft,0,,,,hydromet,IDWR,PN,1.70E+11
brbi,BEAR BASIN,ID,44.95,-116.1333333,205.1666667,0,.......................,319,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
brfi,South Fork Boise River near Featherville,ID,43.495632,-115.307594,4220,US/Mountain,00:00.0,13186000,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.71E+11
brgm,"Buffalo Rapids-Glendive, MT (BRGM)",MT,46.98846817,-104.8031464,0,US/Mountain,,,,0,usbr_map.json,,,agrimet,great_plains,PN,1.01E+11
brgw,Bumping Ridge Snotel,wa,46.8,-121.3166667,197.8333333,0,.......................,375,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
brju,"UCC - Beryl Junction, Utah Weather Station",UT,37.7196,-113.7020167,1580.9976,US/Mountain,,,ft,0,,,,agrimet,ucc,PN,1.60E+11
brko,"Brookings, Oregon AgriMet Weather Station",OR,42.03,-124.24083,24.38,US/Pacific,9/28/1999,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
brmi,BEAR MOUNTAIN,ID,48.3,-116.0666667,206,0,.......................,323,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
brmo,BIG RED MOUNTAIN,OR,42.05,-122.85,222.8333333,0,.......................,341,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
brn,BROWNLEE RESERVOIR,ID,44.83333333,-116.9,0,US/Mountain,00:00.0,0,ft,0,,,,hydromet,IDPWR,PN,1.71E+11
bron,"Bruneau River at Rowland, NV",NV,41.933237,-115.674527,4500,US/Pacific,.......................,13161500,ft,0,,,,hydromet,usgs,PN,1.71E+11
brri,BRUNDAGE RESERVOIR,ID,45.03333333,-116.1166667,220.1666667,0,.......................,370,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
brtm,"Buffalo Rapids-Terry, MT (BRTM)",MT,46.77838516,-105.2975464,0,US/Mountain,,,,0,usbr_map.json,,,agrimet,great_plains,PN,1.01E+11
bsci,Boise River South Channel near Eagle,ID,43.67527778,-116.3536111,2550,US/Mountain,.......................,13206305,ft,0,,,,hydromet,usgs,PN,1.71E+11
bsco,"Bieberstedt Creek abv Willow Lake nr Butte Falls,OR",OR,42.46722222,-122.4575,3028,US/Pacific,.......................,14335235,ft,0,,,,hydromet,owrd,PN,1.71E+11
bscy,BASE CAMP,WY,43.93333333,-110.4333333,227.1666667,0,.......................,314,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
bsdi,BEAR SADDLE,ID,44.6,-116.9666667,219,0,.......................,324,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
bsei,New York Canal Diversion from Boise River,ID,43.550381,-116.109874,2830,US/Mountain,00:00.0,,ft,0,Bill_KML,,,hydromet,idpwr/pnro,PN,1.71E+11
bski,Big Smokey RS Weather Station,ID,43.619,-114.868108,5600,US/Mountain,00:59.7,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.71E+11
bskm,LONE MOUNTAIN,MT,45.26666667,-111.4166667,259,0,.......................,590,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.00E+11
bspi,Big Springs,id,0,0,0,,,,,0,,,T,,,PN,
btri,BOSTETTER R.S.,ID,42.15,-114.1833333,239,0,.......................,359,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
btsi,"Boise River near Twin Springs, Idaho",ID,43.66816,-115.726267,3256,US/Mountain,00:00.0,13185000,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.71E+11
bucu,"UCC - Buckhorn, Utah Weather Station",UT,38.0399,-112.711483,1773.936,US/Mountain,,,m,0,agrimet_map,,,agrimet,ucc,PN,1.60E+11
bufo,"South Fork Big Butte Creek near Butte Falls, OR",OR,42.540129,-122.55531,2400,US/Pacific,.......................,14335500,ft,0,,,,hydromet,OWRD/OWRD,PN,1.71E+11
bul,"Bully Creek Dam and Reservoir near Vale, OR",OR,44.01332078,-117.3974727,2516,US/Mountain,00:00.0,,ft,0,cma_google,,,hydromet,pnro,PN,1.71E+11
bulo,"Bully Creek near Vale, Or",OR,44.03055556,-117.4125,2516,US/Mountain,.......................,13227000,ft,0,,,,hydromet,IDPWR,PN,1.71E+11
bum,BUMPING RESERVOIR RIVER AND WEATHER STATION,WA,46.86861111,-121.2988889,0,US/Pacific,00:00.0,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
